"cellID","X_centroid","Y_centroid","anno_cell_type_lvl2"
"sample_2d_r2_s1-cell_774",4874.47701547702,21598.3322265646,"Cardiac fibroblasts"
"sample_2d_r2_s1-cell_792",5046.22666612252,21466.5270670812,"Endothelial cells"
"sample_2d_r2_s1-cell_804",4868.94017179385,21502.3781456359,"Cardiac fibroblasts"
"sample_2d_r2_s1-cell_842",4949.26969488019,21339.3059289344,"Cardiac fibroblasts"
"sample_2d_r2_s1-cell_865",8390.24165636588,21323.3239710903,"Myeloid cells"
"sample_2d_r2_s1-cell_871",8323.09834699264,21302.375659357,"Myeloid cells"
"sample_2d_r2_s1-cell_906",5182.18637381384,21168.343672812,"Endothelial cells"
"sample_2d_r2_s1-cell_924",8169.86574692182,21172.4007022499,"Cardiac fibroblasts"
"sample_2d_r2_s1-cell_925",4516.11918238994,21142.5683291766,"Cardiac fibroblasts"
"sample_2d_r2_s1-cell_932",5325.64934361889,21137.5898191145,"Cardiomyocytes Nppa+"
"sample_2d_r2_s1-cell_933",5079.32077087794,21087.3304414819,"Myeloid cells"
"sample_2d_r2_s1-cell_939",4972.53533046749,21095.2358678469,"Myeloid cells"
"sample_2d_r2_s1-cell_954",4722.09765559116,21088.7824541577,"Endothelial cells"
"sample_2d_r2_s1-cell_983",5389.05485232068,21049.9488811939,"Cardiomyocytes Nppa+"
"sample_2d_r2_s1-cell_984",5331.10471622702,21028.1650846025,"Cardiomyocytes Nppa+"
"sample_2d_r2_s1-cell_990",5362.42757095466,20979.5443926562,"Cardiomyocytes Nppa+"
"sample_2d_r2_s1-cell_991",4685.94568690096,21009.8058927228,"Endothelial cells"
"sample_2d_r2_s1-cell_998",4694.77677646571,20910.9167641787,"Endothelial cells"
"sample_2d_r2_s1-cell_1024",5320.74991762768,20920.0945777131,"Cardiomyocytes Nppa+"
"sample_2d_r2_s1-cell_1035",5223.26836672738,20882.5887880441,"Cardiomyocytes Nppa+"
"sample_2d_r2_s1-cell_1048",4540.64083506394,20845.3232300284,"Cardiac fibroblasts"
"sample_2d_r2_s1-cell_1074",5074.59612903226,20809.4928880556,"Endothelial cells"
"sample_2d_r2_s1-cell_1097",4988.97087453054,20731.2799139623,"Myeloid cells"
"sample_2d_r2_s1-cell_1113",4523.20554272517,20742.5988835218,"Cardiac fibroblasts"
"sample_2d_r2_s1-cell_1121",4831.76791573131,20704.2409126639,"Cardiac fibroblasts"
"sample_2d_r2_s1-cell_1143",4496.57893559928,20611.1428977009,"Cardiac fibroblasts"
"sample_2d_r2_s1-cell_1154",4635.39597104186,20658.2961650073,"Cardiac fibroblasts"
"sample_2d_r2_s1-cell_1185",4742.18552412646,20598.7513603406,"Endothelial cells"
"sample_2d_r2_s1-cell_1186",4347.88230049041,20596.4312158794,"Myeloid cells"
"sample_2d_r2_s1-cell_1190",4640.59185606061,20583.2674572498,"Endothelial cells"
"sample_2d_r2_s1-cell_1201",4570.67358842744,20499.3943220245,"Myeloid cells"
"sample_2d_r2_s1-cell_1222",4333.50198570294,20491.1165017055,"Cardiac fibroblasts"
"sample_2d_r2_s1-cell_1259",4449.45034824821,20326.8861990153,"Endothelial cells"
"sample_2d_r2_s1-cell_1263",4315.25499016025,20387.1821815238,"Cardiac fibroblasts"
"sample_2d_r2_s1-cell_1265",4599.77220630372,20413.1140861462,"Endothelial cells"
"sample_2d_r2_s1-cell_1277",4996.47984168251,20330.8809907259,"Cardiac fibroblasts"
"sample_2d_r2_s1-cell_1282",4572.55788655789,20347.9325699149,"Pericytes"
"sample_2d_r2_s1-cell_1329",4744.63980058164,20264.7715582935,"Endothelial cells"
"sample_2d_r2_s1-cell_1344",4814.09642980936,20167.0577177404,"Cardiac fibroblasts"
"sample_2d_r2_s1-cell_1363",4642.80157523836,20119.9919486053,"Endothelial cells"
"sample_2d_r2_s1-cell_1366",4577.18351124234,20141.6275302717,"Endothelial cells"
"sample_2d_r2_s1-cell_1380",4319.01310741688,20123.7122859718,"Endothelial cells"
"sample_2d_r2_s1-cell_1382",8496.8146232109,20088.1411933172,"Myeloid cells"
"sample_2d_r2_s1-cell_1394",4815.47091118392,20060.7193589374,"Endothelial cells"
"sample_2d_r2_s1-cell_1397",4488.21898903872,20046.4580734903,"Cardiac fibroblasts"
"sample_2d_r2_s1-cell_1416",8519.1780530714,20005.7272660844,"Myeloid cells"
"sample_2d_r2_s1-cell_1435",4327.31422083452,19962.7683754583,"Endothelial cells"
"sample_2d_r2_s1-cell_1436",4379.9217059198,19988.9702184712,"Pericytes"
"sample_2d_r2_s1-cell_1441",8353.19958296098,19970.0846438613,"Myeloid cells"
"sample_2d_r2_s1-cell_1455",4629.74227562531,19939.0939281878,"Pericytes"
"sample_2d_r2_s1-cell_1461",4430.92447418738,19929.0232947839,"Endothelial cells"
"sample_2d_r2_s1-cell_1463",4550.06581785292,19877.1778906382,"Cardiac fibroblasts"
"sample_2d_r2_s1-cell_1508",4627.55794373725,19737.2449463589,"Cardiac fibroblasts"
"sample_2d_r2_s1-cell_1575",4870.95327102804,19606.3026455817,"Cardiac fibroblasts"
"sample_2d_r2_s1-cell_1599",7495.27422003284,19501.3143098225,"Myeloid cells"
