final_cell_type,region_name,timepoint,mean_count,se_count
Macrophages Trem2-,Infarct Core,24h,1.0859161028062414,0.0
Macrophages Trem2-,Infarct Core,48h,0.0,0.0
Macrophages Trem2-,Border zone,Control,8.093536333052548,2.0478959810687933
Macrophages Trem2-,Border zone,4h,5.7463122473181105,0.8435636941391443
Macrophages Trem2-,Border zone,24h,4.372115873015362,0.6854442830142528
Macrophages Trem2-,Border zone,48h,2.4401231394003493,0.6092713238363436
Macrophages Trem2-,"Near-Infarct
Epicardial Region",Control,7.293619657295879,2.218498868900915
Macrophages Trem2-,"Near-Infarct
Epicardial Region",4h,11.982180800472896,0.0
Macrophages Trem2-,"Near-Infarct
Epicardial Region",24h,0.0,0.0
Macrophages Trem2-,"Near-Infarct
Epicardial Region",48h,0.0,0.0
Mono / Macros Ccr2+,All,Control,9.320883263900091,3.5540219024256885
Mono / Macros Ccr2+,All,4h,33.873421615871365,8.893653322685978
Mono / Macros Ccr2+,All,24h,244.14373201735629,115.35424603164532
Mono / Macros Ccr2+,All,48h,410.369987791625,16.09878481008951
Mono / Macros Ccr2+,"Near-Infarct
Endocardial Region",Control,3.507554406580931,0.0020172327087881747
Mono / Macros Ccr2+,"Near-Infarct
Endocardial Region",4h,111.93583591611846,22.295519502979875
Mono / Macros Ccr2+,"Near-Infarct
Endocardial Region",24h,1163.8637291337218,419.1991992232416
Mono / Macros Ccr2+,"Near-Infarct
Endocardial Region",48h,808.2470438409803,31.32960202566568
Mono / Macros Ccr2+,"Remote
Endocardial Region",Control,3.507554406580931,0.0020172327087881747
Mono / Macros Ccr2+,"Remote
Endocardial Region",4h,8.732209393896401,0.0
Mono / Macros Ccr2+,"Remote
Endocardial Region",24h,332.0727760687881,274.7519411071155
Mono / Macros Ccr2+,"Remote
Endocardial Region",48h,289.85974311191796,229.86700535280917
Mono / Macros Ccr2+,Infarct Core,Control,9.940119847438652,3.047760055602147
Mono / Macros Ccr2+,Infarct Core,4h,30.054706134126874,18.21246043081662
Mono / Macros Ccr2+,Infarct Core,24h,153.24025139261693,53.87892798584586
Mono / Macros Ccr2+,Infarct Core,48h,676.9666467130246,31.138899198620148
